# source: https://steamcommunity.com/sharedfiles/filedetails/?id=2786724419
# imported direction traces; never package this file in the agent image
a1	UURRR DDUUU LLLL
a2	LLUUU URRDD DLDRR URDLD LLR
a3	UUURR DDDLD RRDRR ULLLL ULLDD RUUUL UR
a4	RUUUL URRRR RRDRU UUUDD DDDDL LLL
a5	DDLLL LULLD RRURD DRRRU U
a6	UULLD DDLLR RURDD DDLLR RRRRU URRDD LLUUU URULL UUDRD LDDRR
a7	RRRUU LLLDL LUURR DDDLL
a8	DDRRD RUUUU DLURR URRDD LDDDD LLL
a9	ULLDD LDRRR RDRRU LLLRR R
b1	LLLDD RURUL LULDD DDDRD LLULL DRRRR RUR
b2	LUUUU ULDLD RURDD DRDLU UUUUR DRDLU LDDDR DLLLL ULLDR RRRRR RUR
b3	LUULU RDDDD DLDRU URRRD RULUU ULDRD LLLLL L
b4	RUULL LRDDD LUURU LLLLL
b5	ULDRR RDLLD LURUL LULLD RRRRD RRULD LUUDD DL
b6	LULLU RRDRR RRDLL DLUUD RUULD DDRRD
b7	DDLLL URULL UURDR DLLLL LLDLU UDLUR RURDL DRRRR RRDDR RR
b8	LUURR URDDR RULUL DDRDL ULLDD RUUUU LURRR RRRRU UDDLL LLLLU
b9	RUUUR DDDRD LLRRD LLUUU UULDD DDLLR RRDRU UULUR RRUU
b10	URRDU RRDDR DLRDL LLLDD LUUUL URLUR LURDD DDDDR RUDRR RULLL DLUUU URR
b11	RRRRR RRRDD RRUUU DDDLL UUUUR RRRUL LULDD DUURR RDLLL LLLLL LLLLL UUL
b12	DDRRR LLDDR DDUUU UUULL LUUUL LRRRR RUU
b13	DDDDU UULUR RUUUR RRRRR DDLLL L
b14	RRDDD ULLLL LLLLR RRRUU
b15	ULLDD DURRR DRRRL ULLLL LDDDU UURRR RRDRR
b16	LUUUL URRRL LLLUU RRRUU DRDLL LULDD DLDRR LUUUU LLUUR RRUUR DLLLL UL
b17	UURRR RRRUU RRRRR RUULL UUUUL URRRR RURRR DDDRR DDDDL DDRUU UUUDL LLLLD DDDDR RU
b18	UURUL ULLDR RRRLL UURDL DDDDD RDDRU LLLDL URULU LDDLD DDR
c1	UURDR RLLDD UULLR DRULL
c2	DLLLU URRRR ULLLL DLUUU DLURR RURDD
c3	LLLLD LUUUD DDDDU UUURR RR
c4	LDLDR UURRR DLULD DDLDD RUUD
c5	DLDRR DRULU RRURD LLDDR ULURU RDLLL URRDR DLDDR UURRU
c6	UULLD DDDLL LRRRR UUUUR DDDDR RRLLU LDLDD RUUUU U
c7	RDRUU URULD DLLLU RDRUU UURRR LLLLL DRRRL LLUUU RRRLL DD
c8	LLLRU UUDRR RUUDL RRLDD DD
c9	DLLLD RDRUU UDLLU RDDDR RURUL DLUUU LURLU RURDD DDUUU RDLUL LDDRU UDDDD DD
c10	LUURD RRDLL LDLUU LURRD RUUUR ULDLL UDRRU LDLUL URRRR RRRDR ULUUR DDDL
c11	RDDRD LUUUL DDRDL LLLLL LUUDD DDDUU UUURU LLLLR DDDR
c12	UUUUR LUUUD DDRDL LLUUL LURDR UUUUL URRUR DDLD
c13	LUUUU DDLLL LRDDD RRDDR DLULD DUUUU LUURR ULLDD DRRRR
c14	LLLDR RURDD DDUUU RRRUL RUULD LLLLL URRDR UUUDD RRRDL LRRDD LLUDR URULD DR
d1	RRRDL DLUUR RULLL
d2	LUULU RDDDR RRULD LUUUD RURUL LLRRR
d3	LDRDR RDLDL UURRU LULLD DRRUL LULDD RRDDL URULU LDDUU U
d4	DRRUR DLLLD RRURD DDDDR RDRLU UUUUU U
d5	LDDRR DRUUU LURRR LDDDD DDLDU LLL
d6	DLDRR UUURD DDLDR LDDRR UUULU RRLDD DDLDU LLL
d7	RRRRD DLULL LDULL LDRRU RDURR RRDLL LULDU LLLDR RURDU RRDLU LDDDD DDLDD RR
d8	ULLLD RRURD DDDUU RRRLL DLULD DURUU UUURU LDLUR RULLL LULLD DDUUU RDDUR RRRRR RDDDR RLULD DUUUR RRRRD DDDDD LLDLU UUU
d9	RRRDD DRURU LLLLD DRUUR ULLUL DLDRURD DRDLD LUDLU RRDRU UURRU
d10	RUURD DRDLL DLUUU UDDLU RRURD DDLDR LLL
d11	RDDDL ULURR RLDDR ULURR DRULL LUURD LDRRD RUUUD DRULL LDLUL URRUR DDDLL LLD
d12	DRURD DDULL DDLLU RRDRU LLLUR RDRUL URURD DDLLL LUURU RDDDD RURRD LLULD DD
d13	URRRR UUUUU ULLLL LLDLL URRRR RRRLL LDRUU URUUL DDDDD DLDDD R
e1	LUULU LDDDU RRDLU LDDDU URRRR URRLL LUU
e2	LLLLU RRDRU UDDRD LLLUL DRRRR DLLLU LDDUU UURRR UULDR RRDR
e3	LDDDR UULUR RRDRU UDLLL LUUUR UULUR DDDDL DRURD DDLLL LLLLD
e4	ULLLD RRDRU URULL DDDLL LLULL URDUU UUUDD DLDRR URDRD D
e5	LLDLU UULUR RRLDL DRRDR URULL LLULD DRRRU UUULU ULL
e6	UURRD DLDRR LLDRR DRUUU UUDDD DRULD LUULU RURRD DRRLU LDLDR DDL
e7	LDDDD LUDRR RULLD LUUUD DLURR RRRLL LLLUL LDRUU DDDDU UUDDL LLLLL ULLUR DDDDD DDDLL LLUU
e8	DLLLL DLLLL LDLLL LLULL LLDUR RDRRR RRRRU RRDLU RRURR RRDLU RRURR RRDLU RRURR RRDLU RRRU
e9	RRUUD LLDDD DRULR RRDDD LLLDL UUUUU DDDLL URDDD LLLDR RDRUU UUUUD DDDLL DDDDD LRUUU UULL
e10	RRRRR UURRR RRRDL LLDLU LRRUL LRDDD DRRRR ULLLL LDLUU ULLLL DLURD DDDDR DDLRU ULLDD DDRDL DLUUL URDDD RDDDD LDDDR DLULD DDULD RURUU UUUUU RUUDD DDLLD DRUUU URUUU UUUU
e11	DLLLU RRRRD DDRUL LLDDR DDULL UUUUR RRDRR LLDLU ULURD RUUUD RRDRL ULLLL LUUUR UUDDD DDRDL LLLLU LDDLD
e12	DLLLD RRDRU UDDRU URULL LRRUL DDDRD LULDD UUURU ULUUL DLLRU UUURU ULUUR DLLLL UULLL
L1	RDDDR DLULL LURUR DDDDR DLLLL LLLLD DRRDR UULUR RRRUR DDRDL LURRR
L2	DDDRR ULLLL LDRRU RDDUR RURUL LLLDL URRRR RULLL LLLLD LUUUU UUULL DDDLD RRURD DDRDL DLUUL URRDR UDRRL LLLLD D
L3	DRRRU LDLUU LLURR RRRRL LLLUR RDDDR DLLUL DDUUU URRRR RDRUU UUUUR RDDDR DLLUL DDDLD RL
L4	UUURU ULDDD RDLDL LUUUR UULDD DDLLD RDRRU DLLUR DRUUU URUUL LLDDL LLLUR RRDRU LURRR DDDUU RRULU LDRDL LRDDD UUUUU LLLDD RRRDR URULL LLLDL URULL LRRRR DRRDL UULUR URDDD DDDDD
L5	DRDRU RUUUL LDDLL LDRRR RLLUU ULDLD RRRRR LDDRU LURRR LRURR RRDDR DLLLU LLUUR DURRR DLULL DURRD LULDD DDRDL RDLRD LDLUU UUULU RDRUU ULLDR DDDDR UUULD RRDRU URULL LLLLD DDDLU RDRUU UR
f1	RRRRR RUULL LLLUL LDRRR RRDDR
f2	LLLLL ULDRD DRRRU RLLLL UL
f3	DRRUU LURRR RRURD DDDLD DRUUU RULLL LLLLL
f4	LLLLL LLULD DDRRR RRULD DDLDR RRRDR UURRD
f5	UULLL LDDDD DDDLD RRRRU RDLDD RUUUR RD
f6	DDRRR LLLLR RRRUU UUUUR UULDD UUUUR RRDR
f7	LDDDU UUULD RDDDR RRRRR LUUUU DDLDR UUURR RRRDR UULUR DR
f8	RDDLU RULLL LLLUU RUDDL DRRUR DDDLD DRRRR R
f9	LDDRR RRURR RDDLU UUULU UURUR DDRDL LLLL
f10	DDRRU UURRU UULLU LDLLD DRDDL LUURR RRDDR
f11	LLDRR RDRUL LUUUR DLDRR RURDD LDRLL LLLLU RRRUR DLDRR URDLD RLLUR DDRRR
f12	UULDD DDURD LLLUL UUDDD DRRRL LLLLL LLURD RUUUU R
f13	RDDUL LLDRR URDRD LLLUL DLDRU RLDDD ULURR RRURD DDDLD DRRRL LLURR UUUUU UR
f14	LLDUU LLDDR RRDLL LULLD DRULU RDRRR UUULD DRDLU LDDDR DLUUL LLDRR RLLUR RURR
f15	RRRDD LLURU DDDUU ULDRR DRRRU LLLLL LUURU R
f16	RRDDR RULDL URULL LLLLL LUULL DRRDL ULDDU RRRRR RRRRR DRRUR LDLLU LLLLL LLUUR
g1	DDDDD RRUUU URRUR DDDDU UULLL DDDDL LUUUL U
g2	UULLL LDDUU URRRR URLRR RUUUU RRRUD UUUUR ULDLU LLU
g3	RDDLU LDDRR DLLLD LLULR DRDDL UUDDD
g4	LUUUR DDLDR DRURR RUUUL LLLLL ULLDL LLLLD LUUUU DRRUU LLDDD LLLLD LLULL LDDDL LLDDD DLLUU
g5	LLURR URDDD LDRRR LLLLL URRDR UUUUD UUUDD LLLLU UUURL
g6	LDDDR ULURR DRUUU URRDL ULUUU URULD LUUUU U
g7	RDLUU LURRD DDDLL DLRR
g8	ULDDR UULUR RRRRL LDDDU DLLLL DDDRR LLLL
g9	LDDRU RDDDL DRRRU RDDLD RRRRR DR
g10	UULLD DDRRD DDDLD RURDL UUUUR ULLLL
g11	RDDDR RUURU LURRU ULDLD RRRRD DRRRD RRUUU UURRR DLDRR LLLLD DDLLU LUURU LLRDL DLUUR UUUL
g12	LLLDD RLDDD RUULU RRRDR UUURU LLDDD LLURD DLDRR RRURD DDUUU UULLL LRRDR UUUUU
g13	UURRR DDDRR LLLLL RDDDL LRRRR RRLLL DDDLL LLLDD R
g14	RRRRD LLLRR RRLDD DRRRR RURRU URRRU RRDRU RUURL DDLLL LDRUU RRRUR RUURR RURRD DR
g15	LUUUR DLDRR RDRUL LURRR RRRUU LDRDL LLLLL URDUL LLDRR DDRRU LDLUL URRRR RRURD DDUUL LLLLL L
g16	LDDDR URRUU UURRD LULDD DLURR DRULL LDDDR ULURR URUUU UURUL LRDDD DDD
g17	RDRUL URLUU RDLUL DLDRR RRURD DLLDD DDRDD LLURR RRDRU UULLU LUURU U
g18	DLLUR RRRDL UUURU RURUU UURDU LLLLD DLLUR RUULL
g19	RUUUL DRDLL UULDD LDRUR DDRDL DLUUD DLURD RUUUU ULDRR DRUUR UL
g20	UURRU LDDLL LDDDD LLURD DRDDL LDDLD RRURD URDLL LLDDD LL
g21	LLLDD DDRUR RDULL DRLUU RURDD RRRUU URULD DDDLL LDURR RUUUR ULDDD DDLUU LULDD RRRUU URULD DDDLL LDURR RUUUR ULLLL ULDDD DRDLR RUUUU RULDD DDLLL DRRRU UUURU LLLLD LUDLU DLURR RULLD L
g22	RDRDL LLLLD LULUR DDLLU LURRR RRURD URDRD LLLLR RDLUR ULLLL LULDD DUURR RRRRR LLLUU RDLDR RLUUU
g23	RRDRU DDDLL URDRU UUUUL URULU RURDD DDDDD RDLLR RUUUU URRDL ULDDD LDRRR RUUUU RULRD DDDDD DDDDR DLLRR URRDLL RUU
g24	RRRUL DLDDD RUUUR ULDDD LLDLU UULDD DRDLL LLDLU UUUUU LLLDD DDDDD DRDLL LLLDL UUUUU LLRDD DRULL LLRRR RRRLU UUUU
g25	LLLUU URRDD DDDRR RDDDL DRRDD DRRDL LRUUU UURUL LLULD RRRRR UUUUU UUURR LLUUU UUU
h1	DRRRR RRRUL LLLLU LLDRU RDDDD DDRRR RRR
h2	LUUUR DLDRR RLUUR DLDRU RDDLD RURRD LLDLL
h3	RDDDD DUULL LURRU RDDDD RDLUL DRDDL UUULL DD
h4	LLURD RUURR DLDLU ULLUU RDDLD RURRR UULDD DRDLU ULULU URDDL DD
h5	RURDD DLLUU ULLDR URDDD DLDRR RDRUU ULLLL UURRR
h6	DDDLU URULR UUULD DRDLL LDLLL RRUUR
h7	RRDLU LDDLL URRUR DDLLD RRURR RRLLD RRUUR ULLUL DDRDL LDLLL LRDL
h8	RDRUL LLUUU RDLDR UURRD LULDL DRRRD RRRRR RRU
h9	LLULD DRRRR DLLLU ULLLL DDDDR DURUU LDDDR RDDDD LLLLU LRUUU URRR
h10	LDLDR RUURD LUURU RDDDU UULLL LDRRR RURDD DLLDD RRRLL DRRUU RULLL LLULD DDRUR RDLUL DDDLL LRUUU UUURR
h11	DLLDR DRUUR RDLLL LLDDL RURDD LDRUU ULLDD DDDDL DD
h12	LDDRR RRDRU ULUUU LLLLL ULL
h13	RUUUL DDRDL RRRUU LLULD DRDLD LUULU RRRLL LLUUU LLRDD DRR
